date,portfolio_id,strategy,ticker,side,shares,fill_price,commission,cash_after,equity_after,reason
2026-06-25,swing_100,swing,SWK,BUY,1.0,89.985,0.8999,9.12,101.43,"פריצה #4 +3.4% מעל הרף, RSI 67"
2026-06-25,swing_10k,swing,BKNG,BUY,11.0,181.1505,1.0,8006.34,9953.89,"פריצה #5 +3.1% מעל הרף, RSI 65"
2026-06-25,swing_10k,swing,DHI,BUY,11.0,168.2641,1.0,6154.44,9938.44,"פריצה #3 +5.5% מעל הרף, RSI 69"
2026-06-25,swing_10k,swing,EXPE,BUY,7.0,260.3801,1.0,4330.78,9871.43,"פריצה #1 +7.0% מעל הרף, RSI 70"
2026-06-25,swing_10k,swing,MHK,BUY,16.0,120.3501,1.0,2404.18,9880.83,"פריצה #2 +6.0% מעל הרף, RSI 65"
2026-06-25,swing_10k,swing,SWK,BUY,22.0,89.985,1.0,423.51,9930.98,"פריצה #4 +3.4% מעל הרף, RSI 67"
2026-06-29,momentum_scan_10k,momentum_scan,ON,SELL,17.0,90.1499,1.0,2562.48,9490.81,סטופ נגרר — ירידה של 23.7% מהשיא
2026-06-30,momentum_scan_10k,momentum_scan,ON,BUY,28.0,88.8144,1.0,74.68,9951.2,"מילוי אמצע-חודש — דירוג #3, מומנטום 6-1 +161.2%"
2026-06-30,screener_track_10k,screener_track,RBLX,SELL,15.0,54.4927,1.0,1366.49,10464.72,"מימוש חלקי +16% — נמכרה מחצית, סטופ הועלה לכניסה"
2026-06-30,twitter_track_100,twitter_track,ARDX,BUY,9.0,5.1926,0.4673,52.8,98.7,קנייה לפי @theaiportfolios
2026-06-30,twitter_track_10k,twitter_track,ARDX,BUY,961.0,5.1926,4.805,5005.11,9906.21,קנייה לפי @theaiportfolios
2026-06-30,twitter_track_10k,twitter_track,NOW,BUY,51.0,97.3587,1.0,38.82,10003.2,קנייה לפי @theaiportfolios
2026-07-01,leveraged_momentum_10k,leveraged_momentum,AMDL,SELL,14.0,76.047,1.0,1856.16,9681.69,"מימוש חלקי +23% — נמכרה מחצית, סטופ הועלה לכניסה"
2026-07-01,twitter_track_100,twitter_track,ARDX,SELL,3.0,5.1174,0.1535,68.0,98.96,קנייה לפי @theaiportfolios
2026-07-01,twitter_track_100,twitter_track,PGY,BUY,1.0,18.3292,0.1833,49.49,99.22,קנייה לפי @theaiportfolios
2026-07-01,twitter_track_10k,twitter_track,ARDX,SELL,308.0,5.1174,1.54,1613.45,10378.73,קנייה לפי @theaiportfolios
2026-07-01,twitter_track_10k,twitter_track,NOW,SELL,18.0,103.5482,1.0,3476.32,10337.2,קנייה לפי @theaiportfolios
2026-07-01,twitter_track_10k,twitter_track,PGY,BUY,182.0,18.3292,1.0,139.41,10416.43,קנייה לפי @theaiportfolios
2026-07-02,rotation_10k,rotation,QQQ,BUY,13.0,725.9428,1.0,561.74,9825.54,rotate->QQQ (25.8%)
2026-07-02,swing_10k,swing,DHI,SELL,11.0,156.8915,1.0,2148.31,9990.7,המהלך נגמר — מתחת לממוצע 10
2026-07-02,swing_10k,swing,APD,BUY,7.0,306.6132,1.0,1.02,10042.74,"פריצה #1 +5.2% מעל הרף, RSI 68"
2026-07-02,twitter_track_100,twitter_track,ARDX,SELL,2.0,5.1774,0.1035,59.74,98.61,קנייה לפי @theaiportfolios
2026-07-02,twitter_track_100,twitter_track,MGNI,BUY,1.0,20.2901,0.2029,39.24,98.49,קנייה לפי @theaiportfolios
2026-07-02,twitter_track_10k,twitter_track,ARDX,SELL,149.0,5.1774,1.0,909.85,10312.27,קנייה לפי @theaiportfolios
2026-07-02,twitter_track_10k,twitter_track,NOW,SELL,9.0,106.1669,1.0,1864.35,10309.89,קנייה לפי @theaiportfolios
2026-07-02,twitter_track_10k,twitter_track,PGY,SELL,44.0,18.7106,1.0,2686.62,10349.4,קנייה לפי @theaiportfolios
2026-07-02,twitter_track_10k,twitter_track,MGNI,BUY,128.0,20.2901,1.0,88.48,10359.9,קנייה לפי @theaiportfolios
2026-07-06,leveraged_momentum_10k,leveraged_momentum,AMDL,SELL,15.0,68.9655,1.0,2889.64,9347.44,סטופ הועלה לנקודת הכניסה — מתחת לכניסה
2026-07-06,screener_track_10k,screener_track,CELH,SELL,25.0,33.3633,1.0,2199.57,10734.96,"מימוש חלקי +18% — נמכרה מחצית, סטופ הועלה לכניסה"
2026-07-07,leveraged_momentum_10k,leveraged_momentum,AMDL,BUY,44.0,64.2571,1.0,61.33,8723.53,"מילוי אמצע-חודש — דירוג #3, מומנטום 6-1 +361.6%"
2026-07-07,swing_10k,swing,MHK,SELL,16.0,115.5622,1.0,1849.02,9841.05,המהלך נגמר — מתחת לממוצע 10
2026-07-07,swing_10k,swing,RMD,BUY,8.0,219.4497,1.0,92.42,9842.45,"פריצה #1 +4.2% מעל הרף, RSI 68"
